,food_web,node_name,movement_types
0,Ythan Estuary,Larus canus_adults,"['swimming', 'walking']"
1,Ythan Estuary,Larus ridibundus_adults,"['swimming', 'walking']"
2,Ythan Estuary,Larus argentatus_adults,"['swimming', 'walking']"
3,Ythan Estuary,Larus marinus_adults,"['swimming', 'walking']"
4,Kongsfjorden,Larus hyperboreus_NA,"['swimming', 'walking']"
5,Kongsfjorden,Sterna paradisaea_NA,"['swimming', 'walking']"
6,Bure Stream,Pisidium_NA,"['other', 'sessile']"
7,Loddon Stream,Pisidium_NA,"['other', 'sessile']"
8,Lyde Stream,Pisidium_NA,"['other', 'sessile']"
9,Wensum Stream,Pisidium_NA,"['other', 'sessile']"
10,FloridaIslandE1,Phalacrocorax dilophus_NA,"['swimming', 'walking']"
11,FloridaIslandE2,Phalacrocorax dilophus_NA,"['swimming', 'walking']"
12,FloridaIslandE3,Phalacrocorax dilophus_NA,"['swimming', 'walking']"
13,Lough Hyne,Littorina saxatilis_NA,"['other', 'walking']"
14,Lough Hyne,Littorina obtusata_NA,"['other', 'walking']"
15,Lough Hyne,Littorina neritoides_NA,"['other', 'walking']"
16,Lough Hyne,Littorina littorea_NA,"['other', 'walking']"
17,Lough Hyne,Mytilus edulis_NA,"['other', 'sessile']"
18,Lough Hyne,Pecten maximus_NA,"['other', 'sessile']"
19,Lough Hyne,Cerastoderma edule_NA,"['other', 'sessile']"
20,Lough Hyne,Patella vulgata_NA,"['other', 'walking']"
21,Lough Hyne,Chthamalus stellatus_NA,"['other', 'sessile']"
22,Lough Hyne,Akera bullata_NA,"['other', 'walking']"
23,Lough Hyne,Anomia ephippium_NA,"['other', 'sessile']"
24,Lough Hyne,Glycimeris glycimeris_NA,"['other', 'sessile']"
25,Lough Hyne,Venus fasciata_NA,"['other', 'sessile']"
26,Lough Hyne,Venus striatula_NA,"['other', 'sessile']"
27,Lough Hyne,Helcion pellucidum_NA,"['other', 'walking']"
28,Lough Hyne,Mytilus galloprovincialis_NA,"['other', 'sessile']"
29,Lough Hyne,Thyasira flexuosa_NA,"['other', 'sessile']"
30,Lough Hyne,Philine aperta_NA,"['other', 'sessile']"
31,Lough Hyne,Abra alba_NA,"['other', 'sessile']"
32,Lough Hyne,Larus marinus_NA,"['swimming', 'walking']"
33,Lough Hyne,Larus argentatus_NA,"['swimming', 'walking']"
34,Lough Hyne,Phalacrocorax aristotelis_NA,"['swimming', 'walking']"
35,Lough Hyne,Phalacrocorax carbo_NA,"['swimming', 'walking']"
36,CR1P1,Mytilus galloprovincialis_NA,"['other', 'sessile']"
37,CR1P1,Patella vulgata_NA,"['other', 'walking']"
38,CR1P2,Patella vulgata_NA,"['other', 'sessile', 'walking']"
39,CR2P1,Mytilus galloprovincialis_NA,"['other', 'sessile']"
40,CR2P2,Patella vulgata_NA,"['other', 'sessile', 'walking']"
41,CR2P4,Mytilus galloprovincialis_NA,"['other', 'sessile']"
42,L1P1,Mytilus galloprovincialis_NA,"['other', 'sessile']"
43,L1P2,Mytilus galloprovincialis_NA,"['other', 'sessile']"
44,L1P3,Mytilus galloprovincialis_NA,"['other', 'sessile']"
45,L1P4,Mytilus galloprovincialis_NA,"['other', 'sessile']"
46,L2P2,Mytilus galloprovincialis_NA,"['other', 'sessile']"
47,L3P3,Mytilus galloprovincialis_NA,"['other', 'sessile']"
48,MBP1,Patella vulgata_NA,"['other', 'walking']"
49,MBP4,Patella vulgata_NA,"['other', 'walking']"
50,RV2P3,Mytilus galloprovincialis_NA,"['other', 'sessile']"
51,RV2P4,Mytilus galloprovincialis_NA,"['other', 'sessile']"
52,WP1,Patella vulgata_NA,"['other', 'walking']"
53,WP3,Mytilus galloprovincialis_NA,"['other', 'sessile']"
54,WP4,Mytilus galloprovincialis_NA,"['other', 'sessile']"
55,WP4,Patella vulgata_NA,"['other', 'walking']"
