,node_name,mov.type,met.type,num_food_webs
0,POM (detritus)_NA,other_nonliving,detritus,1
1,algae_NA,sessile,primary producer,48
2,dead organic matter_NA,other_nonliving,dead organic material,48
3,saphrophytes_NA,other,heterotrophic fungi,48
4,leaf litter_NA,other_nonliving,dead organic material,48
5,mykorrhiza_NA,other,heterotrophic fungi,48
6,plants_NA,sessile,primary producer,48
7,root exudates_NA,sessile,primary producer,48
8,roots_NA,sessile,primary producer,48
9,Sediment_NA,other_nonliving,other,3
10,Phytodetritus_NA,other_nonliving,detritus,2
11,POM_NA,other_nonliving,detritus,2
12,benthic detritus_NA,other_nonliving,detritus,42
13,benthic_diatoms_NA,sessile,primary producer,4
14,Macroalgae_NA,sessile,primary producer,1
15,Detritus_NA,other_nonliving,detritus,10
16,Epipellic flora_adults,sessile,primary producer,1
17,Phytoplankton_adults,other,primary producer,1
18,Macroalgae_adults,sessile,primary producer,1
19,Marine detritus_NA,other_nonliving,detritus,1
20,carrion-detritus_NA,other_nonliving,detritus,1
21,CPOM_NA,other_nonliving,detritus,13
22,FPOM_NA,other_nonliving,detritus,13
23,mosses_NA,sessile,primary producer,7
24,grasses and sedges_NA,sessile,primary producer,7
25,forbs_NA,sessile,primary producer,7
26,shrubs_NA,sessile,primary producer,7
27,lichens_NA,sessile,primary producer,5
28,Microfungi_NA,sessile,heterotrophic fungi,1
29,Vegetation_NA,sessile,primary producer,1
30,Bacteria_NA,other,heterotrophic bacteria,5
31,Usipa larvae_larvae,swimming,ectotherm vertebrate,1
32,Phytoplankton_NA,floating,primary producer,1
33,Fungi_NA,sessile,heterotrophic fungi,4
34,Macrophytes_algae,sessile,primary producer,3
35,terrestrial detritus_NA,other_nonliving,detritus,4
36,Detritus_adults,other_nonliving,detritus,1
37,Unidentified detritus_NA,other_nonliving,detritus,10
38,Macrophyte_NA,sessile,primary producer,7
39,Moss cells_NA,sessile,primary producer,5
40,Unknown green algae filaments_NA,sessile,primary producer,6
41,Blue-green algae_NA,sessile,primary producer,6
42,unknown red algae spp._NA,sessile,primary producer,2
43,Unknown green algal filaments_NA,sessile,primary producer,1
44,Plant (macrophyte) cells_NA,sessile,primary producer,2
45,Green algae unid._NA,floating,primary producer,1
46,Unknown green algae species_NA,sessile,primary producer,1
47,Unknown  green algal filaments_NA,sessile,primary producer,1
48,Unknown green algal cells_NA,sessile,primary producer,1
49,Macrophytes_NA,sessile,primary producer,1
50,detritus_NA,other_nonliving,detritus,1
